codigo,urgencia,tipo,reportes,personas,edificio,parroquia,lat,lon,precision_m,link_maps
SUC-000014,MEDIA,DANO_ESTRUCTURAL,18,0,LG-049029,Caraballeda,10.61766,-66.85463,25,"https://maps.google.com/?q=10.61766,-66.85463"
SUC-000022,MEDIA,DANO_ESTRUCTURAL,9,0,LG-054968,Caraballeda,10.61125,-66.86621,25,"https://maps.google.com/?q=10.61125,-66.86621"
SUC-000043,MEDIA,DANO_ESTRUCTURAL,9,0,CC-082712,Chacao,10.49344,-66.85506,25,"https://maps.google.com/?q=10.49344,-66.85506"
SUC-000025,MEDIA,DANO_ESTRUCTURAL,9,0,LG-044932,Caraballeda,10.61426,-66.84539,25,"https://maps.google.com/?q=10.61426,-66.84539"
SUC-000052,MEDIA,DANO_ESTRUCTURAL,8,0,LG-054718,Caraballeda,10.60969,-66.85549,25,"https://maps.google.com/?q=10.60969,-66.85549"
SUC-000017,MEDIA,DANO_ESTRUCTURAL,6,0,CC-056065,Santa Rosalia,10.50179,-66.90754,25,"https://maps.google.com/?q=10.50179,-66.90754"
SUC-000026,MEDIA,DANO_ESTRUCTURAL,5,0,CC-115880,El Junquito,10.46091,-67.0804,25,"https://maps.google.com/?q=10.46091,-67.08040"
SUC-000019,MEDIA,DANO_ESTRUCTURAL,5,0,LG-000477,Urimare,10.60727,-67.02112,25,"https://maps.google.com/?q=10.60727,-67.02112"
SUC-000032,MEDIA,DANO_ESTRUCTURAL,4,0,CC-077291,Chacao,10.49281,-66.85291,25,"https://maps.google.com/?q=10.49281,-66.85291"
SUC-000008,MEDIA,DANO_ESTRUCTURAL,4,0,LG-000684,Urimare,10.6098,-67.01084,25,"https://maps.google.com/?q=10.60980,-67.01084"
SUC-000021,MEDIA,DANO_ESTRUCTURAL,4,0,CC-056328,Chacao,10.49791,-66.85075,25,"https://maps.google.com/?q=10.49791,-66.85075"
SUC-000010,MEDIA,DANO_ESTRUCTURAL,4,0,LG-042220,Catia La Mar,10.60364,-67.02917,25,"https://maps.google.com/?q=10.60364,-67.02917"
SUC-000028,MEDIA,DANO_ESTRUCTURAL,4,0,LG-048009,Macuto,10.60869,-66.87822,25,"https://maps.google.com/?q=10.60869,-66.87822"
SUC-000016,MEDIA,DANO_ESTRUCTURAL,4,0,CC-087967,Chacao,10.49964,-66.84654,25,"https://maps.google.com/?q=10.49964,-66.84654"
SUC-000011,MEDIA,DANO_ESTRUCTURAL,4,0,LG-000800,Urimare,10.61026,-67.02474,25,"https://maps.google.com/?q=10.61026,-67.02474"
SUC-000037,MEDIA,DANO_ESTRUCTURAL,3,0,LG-012002,Maiquetía,10.59942,-66.96191,25,"https://maps.google.com/?q=10.59942,-66.96191"
SUC-000038,MEDIA,DANO_ESTRUCTURAL,3,0,LG-027655,Caraballeda,10.61917,-66.84706,25,"https://maps.google.com/?q=10.61917,-66.84706"
SUC-000034,MEDIA,DANO_ESTRUCTURAL,2,0,LG-001056,Catia La Mar,10.6018,-67.03148,25,"https://maps.google.com/?q=10.60180,-67.03148"
SUC-000039,MEDIA,DANO_ESTRUCTURAL,2,0,LG-022946,Macuto,10.60905,-66.88752,25,"https://maps.google.com/?q=10.60905,-66.88752"
SUC-000046,MEDIA,DANO_ESTRUCTURAL,2,0,CC-055567,Chacao,10.4968,-66.8449,25,"https://maps.google.com/?q=10.49680,-66.84490"
SUC-000013,MEDIA,DANO_ESTRUCTURAL,2,0,CC-055651,Nuestra Señora del Rosario,10.41041,-66.8813,25,"https://maps.google.com/?q=10.41041,-66.88130"
SUC-000029,MEDIA,DANO_ESTRUCTURAL,2,0,CC-060108,La Pastora,10.52093,-66.9205,25,"https://maps.google.com/?q=10.52093,-66.92050"
SUC-000042,MEDIA,DANO_ESTRUCTURAL,1,0,LG-024080,Macuto,10.61111,-66.88529,25,"https://maps.google.com/?q=10.61111,-66.88529"
